full_text,text_weight,text_weight_label,class_sentiment
tps kebon kangkung kiaracondong kota bandung prabowo sirekap kpu salah input,-6,0,negatif
promo,3,1,positif
tps kejat buahbatu kota bandung prabowo sirekap kpu salah input,-6,0,negatif
tps babakan surabaya kiaracondong kota bandung anies prabowo sirekap kpu salah input,-6,0,negatif
kerja jam mensukseskan demokrasi eh rusak demokrasi,5,1,positif
mantau twitter berita surat suara coblos duluan paslon ya eror sirekap kpu markup suara paslon gilaan wkwkw nemu markup paslon asumsi nyata ya wkwkw,5,1,positif
buzzerp main hestek,2,1,positif
tunggu sih salin kayak tunggu jodoh,5,1,positif
kpps selesai hitung jam setor camat jam tidur nanggung,6,1,positif
bangun tidur kayak orang habis putus sakit hampa level energi angka,-1,0,negatif
mari tunggu hasil berwewenang jaga damai laksana milu polri poldapb,10,1,positif
heran milu kali menang paslon prabowogibran pangku kuasa ri heran milu menang paslon amin kalah orang nomor indonesia back natural democracy,19,1,positif
banteng jokowi menang milu periode,1,1,positif
prabowo kampanye selesai,5,1,positif
quincy promes vonis penjara selundup kokain,-4,0,negatif
status warga sipil eks jenderal polisi perdana salur hak pilih,-5,0,negatif
jokowi effect signifikan suara golkar amp demokrat,2,1,positif
kena prank jokowi capekcapek dukung jokowi ujungujungnya prabowo rip demokrasi real count,-2,0,negatif
dah teori demokrasi batas teori kalah teori makan gratis hilir cerita cucu demokrasi era modern modern globalisasi reformasi coba,9,1,positif
kalo dipikir katakata pintar intelek by data katakata konotasi negatif ya panggil profesor buah insult ya salah subjektif bukti jari,-8,0,negatif
tangis dukung pecah iring anies tinggal posko menang,4,1,positif
prabowogibran menang rutan koruptor milu,4,1,positif
gue heran ngetweet curang dll paham sistem hitung milu sih debatin loh,-4,0,negatif
milu manual gin jaman canggih era digital,-2,0,negatif
bangun garagara ganti presiden,6,1,positif
rutin kemoterapi sayang tumor nya negara gagal hancur ekonomi politik sebar luas rakyat konsentrasi kelompok kuasa daron acemoglu,-5,0,negatif
semangat omaygat,4,1,positif
,0,1,netral
data c masuk ayo guys upload c tps daerah,-1,0,negatif
push day done stock buah isi ulang nyoblos milu buruh yuk kerja yuk,14,1,positif
terima kasih tugas kpps tugas jalan milu tidur jam hebat,5,1,positif
pdip kayak digdaya partai capresnya nomor buncit nasdem pks pkb kayak moncer capresnya partai jual foto bareng presiden jabat kayak lolos parliamentary treshold ya,-1,0,negatif
tps mengwi badung bal prabowo nambah sirekap kpu salah input,-8,0,negatif
promo,3,1,positif
terima kasih hak pilih pilih pdi juang dukung pdi juang juang suara rakyat,15,1,positif
tunggu pose pegang bola jersey bola,2,1,positif
pilih tps ratarata orang kandidat raih suara mesti keliru ya,4,1,positif
,0,1,netral
kawal suara,3,1,positif
dukung diam amp olah olah dukung milu dukung milu,13,1,positif
sedih menang sedih psi masuk senayan,-9,0,negatif
gue bilang menang,4,1,positif
putus rasmi pilih raya subianto caloncalon suruhanjaya pilih raya prabowo undi lepas kirakira enam ratus undi,-3,0,negatif
nyoblos parfum ajaaaaa dooong cek instagram story scentplusofficial template story ramai pakai template nya foto coblos tag instagram,2,1,positif
day my st time jakarta congratulation tweet id,0,1,netral
berkat jokowi prabowo image pimpin tulus mata coblos alas orang dukung tulus orang bilang tulus hasil rebranding singkat,13,1,positif
milu kali rusuh banget dukung paslon serang tl garagara beda antem bhkan cerai wtf negara berketuhanan kalo deh pilih ya entar hasil serah tuhan,2,1,positif
bilang hasil milu transparan gue bekep ye mulut lo gue ptps kpps benr rill ngitungin surat suara sah sah surat suara rusak pisahin benarbenar saksi saksi partai benarbenar hasil rill mata lihat,18,1,positif
error,-5,0,negatif
sesuai ramal r soekarno oeharto j habibie bdurahman wahid oekarno putri ambang yudhoyono okowi dodo owo subianto anjar pranowo ibran rakabuming raka us murti yudhoyono,1,1,positif
tarik hasil quick count suara pdip sumber suara nomor presentase suara banding partai suara arti suara pdip solid lucu,22,1,positif
timelineku isi akun alter orangorang berani speakup base fess pakai akun pribadi biar seru,8,1,positif
sehatsehat pahlawan,0,1,netral
sejati awas milu bawaslu netizen,7,1,positif
bangun demokrasi,0,1,netral
milu menang prospek,7,1,positif
prabowogibran unggul gugus pulau,-4,0,negatif
milu mari fokus kerja,9,1,positif
prabowo rangkul unsur,-3,0,negatif
kawal hitung suara aniesmuhaimin bawa gerak ubah,5,1,positif
jadwal hasil milu sumpahjanji presiden wakil presiden,9,1,positif
penasaran bursa saham efek sentimen negatif positif hehehe,1,1,positif
unsur nista hadap agama islam tragedi bismillah laku curang,-10,0,negatif
coba ulang video sih tukang coblos arah paku psalon colek ri id,1,1,positif
pdip oposisi hasto kristiyanto tunggu hitung resmi kpu,1,1,positif
bentuk timsus investigasi pdip prediksi serang paslon,3,1,positif
perangkat desa tewas sengat alir listrik tps jember,1,1,positif
ratus warga bina lapas paledang semangat nyoblos milu,4,1,positif
antre nyoblos tps sepeda motor gadis cantik gasak maling,-3,0,negatif
masyarakat indonesia phnom penh laku coblos suara milu kbri sabtu februari,2,1,positif
tps nya kayak lomba bersih kelas hias pakai dresscode gerah a janji beli batik kainya gbgera gerah,-11,0,negatif
lihat dukung tweet tweet impact over euforia,7,1,positif
prabowo subianto tuduh langgar ham pecat angkat darat pilih presiden figur kuasa orba debat simak profil,12,1,positif
selamat ya pilpres kpu repotrepot bikin sesi debat capres ya hemat anggar ajak mikir,26,1,positif
hasil real count kpu milu,5,1,positif
selesai pesta demokrasi warga nkri tunggu pesta demokrasi wota nkri alias om jot info ssk kapaaaaan,8,1,positif
ih biar seru putar juang org,9,1,positif
kpu kab manokwari sabtu laksana lepas distribusi logistik milu kantor kpu provinsi papua barat distribusi logistik distrik prafi masni sidey,4,1,positif
h skd babat tobk go catat tiu fa review latsol kbm ngantuk samsek tidur siangg minum kopi dengar lagu jedag jeduq rest well selamat pilih kpu,5,1,positif
kpu sangihe laku distribusi logistik milu camat tahuna timur selasa,3,1,positif
rangka logistik milu kpu kabupaten sumba timur laksana distribusi logistik milu kabupaten sumba timur,3,1,positif
kpu sangihe laksana musnah surat suara rusak surat suara milu selasa,2,1,positif
musnah surat suara milu buleleng singaraja komisi pilih kpu kabupaten buleleng laksana musnah surat suara milu gudang logistik kpu buleleng jl dewata iii paron singaraja,-5,0,negatif
penandatanganan janji kerjasama kpu sangihe pt bank rakyat indonesia sedia jasa layan bank laksana tahap pilkada selasa,11,1,positif
selasa kpu kabupaten enrekang laksana forum jurnalis sosialisasi didik pilih rangka tingkat partisipasi pilih milu penyebarluasan informasi berita putar milu serentak,6,1,positif
artikel kpu milu tanggal februari karrna sesuai simulasi muat laman resmi id turun gue akses baca statemen ketua kpu hasyim asyari,3,1,positif
kpu provinsi dki jakarta buka call center layan milu sedki jakarta putar milu hubung nomor ya,10,1,positif
mosok garagara exit poll ganjar mahfud menang kpu panik moga nular indonesia februari tuju rt,9,1,positif
kpu kabupaten cianjur terima kunjung kerja anggota komisi i dprd provinsi jawa barat rangka pantau laksana milu kabupaten cianjur kantor kpu kabupaten cianjur selasa,9,1,positif
februari ayo tps hak pilih pungut suara milu serentak golput,7,1,positif
area gudang logistik kpu kabupaten cianjur laksana musnah surat suara rusak milu selasa ketua divisi hukum awas kpu kabupaten cianjur misbahudin,7,1,positif
halo selasa kpu kabupaten rangin terima kunjung wakapolda jambi brigjen pol edi mardianto sik kesiap selenggara milu personil polisi aman lengkap milu beliau,8,1,positif
selasa kpu kabupaten enrekang laku musnah surat suara pilih gudang logistik kpu kabupaten enrekang,-5,0,negatif
ketua id ya orang dokumentasi chasil hitung suara besok kalo larang pkpu no pasal buku pandu kpps video pidato ketu,3,1,positif
kpu kota prabumulih laksana lepas distribusi logistik pilih serentak gudang logistik kpu kota prabumulih gudang logistik panitia pilih camat ppk,1,1,positif
kpu kabupaten seluma laksana distribusi logistik pilih camat kabupaten seluma tanggal sd februari,-3,0,negatif
pesan ketua kpu hasyim asyari besok pilpres februari pulang hitung saksi kontrol proses pungut suara lupa hitung suara coret kertas suara pakai,15,1,positif
komisi pilih kpu jeneponto musnah surat suara sisa laku sortir epak milu,-6,0,negatif
kpu kota prabumulih laksana giat musnah surat suara pilih gudang logistik kpu kota prabumulih,-7,0,negatif
fix ye id rakyat dokumentasi giat proses hitung tps plin plan pagi tempe sore kedele mari kawal pemilupilpres,8,1,positif
video proses distribusi logistik milu lokasi tps sulit desa langgar jaya camat mani ilir tps damar kencana desa sosok taba camat muara kemumu milu sarana integrasi bangsa,19,1,positif
selasa tanggal februari kpu kabupaten kepahiang laku distribusi logistik milu tps kotak mobil engkel pick up,-3,0,negatif
selasa malam februari ketua kpu kota metro nurris septa pratama tim memonitoring kesiap tpstps wilayah kota metro ri lampung,-7,0,negatif
komisi pilih kpu kota bekas laksana lantik ganti antarwaktu paw anggota panitia pungut suara pps kel jatibening pilih senin,10,1,positif
kpu kabupaten gorontalo gelar giat musnah surat suara rusak milu tingkat kpu kabupaten gorontalo langsung halaman kantor kpu kabupaten gorontalo selasa,6,1,positif
kabupaten cianjur ketua kpu kabupaten cianjur logistik milu tps kabupaten cianjur kpu kabupaten,0,1,netral
ketua kpu kota bekas ali syaifa as buka giat bimbing teknis pungut hitung suara rekapitulasi hitung hasil suara hasil milu hotel horizon ultima bekas selasa,26,1,positif
kpu kabupaten magetan musnah ribu lembar surat suara milu serentak rusak bakar selasa gudang logistik milu kpu kabupaten magetan,4,1,positif
tuju milu serentak tanggal februari yuk simak pesan agus arifin ketua kpu provinsi sumatera utara milu serentak,14,1,positif
rabu februari pungut suara milu serentak ayo tps hak pilih,7,1,positif
barusan simak presscon id jelang pungut suara esok inti poin ketua id ya orang dokumentasi chasil hitung suara besok kalo larang pkpu no pasal buku pandu kpps video,14,1,positif
kpu kabupaten lawang laksana giat pemusanahan surat suara pilih halaman kantor kpu kabupaten lawang saksi bawaslu kabupaten lawang polres lawang,1,1,positif
komisi pilih kpu kabupaten tulang bawang musnah surat suara milu rusak musnah gelar halaman kantor kpu kabupaten tulang bawang selasa siang pimpin langsung ketua kpu kabupaten,5,1,positif
ayo pungut suara rabu februari hak pilih pilih daftar dptb hak pilih sd,1,1,positif
februari gudang logistik kpu kebonagung kraksaan acara hadir wakapolres bawaslu kabupaten probolinggo danramil kraksaan aliwafa divisi sosialisasi didik pilih parmas sambut acara,6,1,positif
kpu mamuju distribusi logistik milu laut,3,1,positif
kpu kabupaten kubu raya selenggara giat doa milu jalan tertib lancar sesuai atur perundangundangan selasa,22,1,positif
kpu kabupaten sleman laksana musnah surat suara milu selasa halaman kantor kpu kabupaten sleman,-3,0,negatif
kpu kabupaten luwu laksana giat musnah sisa surat suara suara rusak gudang logistik kpu kabupaten luwu selasa,-2,0,negatif
ketua kpu sumsel laksana supervisi amp monitoring epak surat suara amp isi lengkap pungut suara kotak suara gudang logistik kpu kabupaten banyuasin,7,1,positif
kpu kabupaten karanganyar musnah lembar surat suara rusak surat suara milu musnah laku bakar halaman aula kpu selasa,-2,0,negatif
selasa februari kpu kabupaten lampung laksana musnah surat suara rusak surat suara psu milu saksi bawaslu kabupaten lampung polres kabupaten lampung media,3,1,positif
kpu kabupaten bantaeng laksana musnah surat suara pilih selasa malam halaman kantor kpu kabupaten bantaeng giat hadir pj bupati bantaeng kapolres bantaeng dandim bantaeng,-4,0,negatif
kpu kota jakarta utara musnah ratus lembar surat suara rusak milu musnah surat suara rusak akibat robek salah cetak tinta luber surat suara plt ketua kpu kota jakarta utara,-6,0,negatif
kpu kabupaten malaka laksana musnah surat suara milu halaman gudang logistik kpu kabupaten malaka selasa,-3,0,negatif
bupati kabupaten tanah datar logistik pilih luncur pelosok nagari senin gudang logistik kpu tanah datar sumatera barat,1,1,positif
halo komisi pilih kota tarak laksana distribusi logistik milu selasa logistik milu distribusi langsung lurah tps kota tarak,3,1,positif
selasa upaya sambut raya laksana milu laksana besok rabu tanggal februari kpu kabupaten rembang gelar acara doa aula lt kantor kpu kabupaten rembang,6,1,positif
rabu februari ayo tps hak pilih suara bangsa indonesia ri lampung,4,1,positif
kpu kabupaten banyumas laksana rapat koordinasi selenggara layan kotak suara keliling aula kantor kpu kabupaten banyumas selasa,6,1,positif
selasa kpu kabupaten rembang telak laksana musnah surat suara milu halaman kantor kpu kabupaten rembang,-6,0,negatif
ayo bukti cinta bangsa negara tps rabu februari informasi hubung chatbot milu nomor,7,1,positif
kpu sulut laksana monitoring distribusi logistik milu forkopimda sulut kabupaten minahasa selatan senin,3,1,positif
kpu kabupaten banyumas laksana doa sukses selenggara milu aula kantor kpu kabupaten banyumas selasa,10,1,positif
polres lawang binda kejaksanaan negeri kabupaten lawang selasa id,0,1,netral
daftar pilih cek lupa besok tps yuk februari hak pilih,-2,0,negatif
kpu kabupaten maros laku musnah surat suara surat suara rusak milu halaman kantor kpu kabupaten maros selasa,2,1,positif
kpu pulau ribu laku musnah surat suara milu gudang logistik kpu pulau pramuka,-3,0,negatif
tau lembaga survey daftar kpu milu serentak lengkap scan barcode ya,3,1,positif
kpu kabupaten purworejo laku musnah surat suara milu selasa,-3,0,negatif
kapolda jawa timur forkopimda ketua kpu provinsi jawa timur tinjau kesiap logistik pilih laksana kota surabaya kabupaten sidoarjo kabupaten gresik selasa februari,-3,0,negatif
yuk ide kreatif keren unggah video seru menggunakaan hak pilih tps rabu februari follow akun instagram ri upload video igstory mention akun instagram ri,11,1,positif
hai yuk unggah foto seru hak pilih unggah foto seru nyoblos tps hak pilih februari unggah instagram mention akun instagram,19,1,positif
pungut suara pilih tps hak pilih yaa mari wujud milu sarana integrasi bangsa id,7,1,positif
musnah surat suara laksana amanat putus kpu republik indonesia nomor pedoman teknis tata kelola logistik pilih kpu laksana musnah surat suara pilih selasa,-4,0,negatif
surat suara milu rusak cacat danatau musnah kpu kota magelang gudang logistik milu kpu kota magelang selasa,-7,0,negatif
jelang milu gelar rabu februari ketua kpu ri hasyim asyari pidato selasa proses pungut suara besok laku wib pilih laku coblos,6,1,positif
tps layan selasa komisi pilih selenggara laku evaluasi benah layan tps pungut suara,10,1,positif
yuk ide kreatif keren unggah video seru menggunakaan hak pilih tps rabu februari follow akun instagram ri upload video igstory mention akun instagram ri,11,1,positif
massa papua bakar ratus kotak suara kpu pergok hilang formulir c,-2,0,negatif
unggah video seru menggunakaan hak pilih tps februari follow akun instagram ri upload video igstory mention akun instagram ri video tarik hadiah ri,9,1,positif
selasa komisi pilih kpu kota gorontalo laksana distribusi logistik pilih milu lurah sembilan camat kota gorontalo,0,1,netral
yuk saksi pentas seni milu tema songsong pungut hitung suara milu kanal youtube kpu provinsi riau selasa februari wib,7,1,positif
politikus malaysia timor leste kpu calon gibran rakabuming,0,1,netral
coblos gebukin rame rame id,4,1,positif
pesan kpu masyarakat jelang coblos milu,5,1,positif
lembaga tersertifikasi kpu quick count pilpres,-3,0,negatif
lembaga tersertifikasi kpu quick count pilpres,-3,0,negatif
kenal hitung resmi kpu link real count pilpres,8,1,positif
kpu pilih daftar hadir nyoblos milu,1,1,positif
ketua kpu kota sungai penuh jumiral lestari wakil walikota sungai penuh bawaslu kodim polres kerinci damping anggota sekretaris kpu kota sungai penuh simbolis laksana lepas logistik milu,-2,0,negatif
demokrat gelar doa ahy terima kasih juang kawal suara rakyat kpu ketok palu,16,1,positif
ketua kpu hasyim asyari rekam hitung suara tps bentuk transparansi akuntabilitas,11,1,positif
kpu gelar pungut hitung suara milu besok proses hitung suara surat suara presiden wakil presiden,17,1,positif
tpn ganjarmahfud kapasitas ketua kpu hoaks exit poll pilpres negeri,3,1,positif
komisioner kpu wonosobo duga kondisi ppk pps menang ganjarmahfud,7,1,positif
komisi pilih kpu ri pilih periksa langsung kondisi surat suara terima mencoblis pungut suara rabu besok lt,3,1,positif
tenang kampanye kpu kota medan kangkang papan iklan tonjol angka,7,1,positif
kpu lebak temu surat suara milu warna ungu musnah,-1,0,negatif
kpu bogor musnah ribu surat suara milu,-3,0,negatif
haedar nashir kpu bawaslu wasit adil profesional milu,1,1,positif
takdir statistik estimasi tugas kpps tinggal periode feb milu kpu ri usia maksimal anggota kpps minimal tps tps tps,-2,0,negatif
besok pungut suara milu pesan ketua kpu,4,1,positif
sinyalemen ketua kpu papar tahap milu kait tantang milu nampaknya jasa khusus produksi konten hoaks,-2,0,negatif
ok nyoblos masuk penjara nyoblos sulit tugas masuk penjara ketua id,-11,0,negatif
kpu kota cimahi kabupaten cirebon lapor bawaslu kait duga janggal milu,1,1,positif
kpu ppln london buka suara kait viral video wni london hak pilih milu,4,1,positif
demak landa banjir bandang wilayah gelar pungut suara milu kpu,4,1,positif
hasil hitung kpu lambat maret,5,1,positif
kpu jakarta pusat musnah surat suara milu layak kantor pkpri mayor selasa malam,2,1,positif
honor kpps milu potong pajak kpu,-5,0,negatif
plh gubernur jawa timur adhy karyono cek langsung proses distribusi logistik alat kpu surabaya gor pancasila selasa siang jajar forkopimda jatim adhy karyono logistik alat tps,3,1,positif
kpu jakarta barat logistik milu panitia pungut suara pps tingkat lurah,6,1,positif
nyata besok ya februari kasih suara pas banget iklan layan masyarakat ilm kpu jatim season ajak tps hak suara nasib bangsa,21,1,positif
situs masyarakat cek profil rekam jejak caleg milu salah kpu,-6,0,negatif
kpu seruk masyarakat hak suara milu,2,1,positif
pilih disabilitas milu capai orang dasar data dp sinkronisasi kpu proses coklit maret,3,1,positif
komisi pilih kpu ri pilih daftar daftar pilih dpt hak pilih sebagimana terap milu sebelumsebelumnya lt,-3,0,negatif
kpu ajak jaga transparansi integritas milu,5,1,positif
kpu yogyakarta logistik milu distribusi aman,3,1,positif
kpu banjarmasin musnah surat suara milu rusak,0,1,netral
kapolda kpu papua warga paniai bakar kotak suara milu,0,1,netral
kpu kabupaten madiun terima ribu mohon pindah pilih milu,3,1,positif
kpu kait nasib pungut suara milu wilayah dampak banjir demak,4,1,positif
komisioner kpu dki atur larang coblos milu,1,1,positif
ketua kpu ri hasyim asyari warga nama cantum dpr kategori daftar pilih khusus dpk,3,1,positif
kpu buka surat suara masuk bilik cek kondisi bagus rusak,0,1,netral
presiden partai adil sejahtera pks ahmad syaikhu anies baswedan cocok berkontestasi pilih kepala daerah pilkada jakarta nama anies baswedan semat pilih presiden pilpres kendati,7,1,positif
prediksi pilpres bang windah,3,1,positif
cawapres pilih gibran rakabuming raka tanggap gugat hasil pilpres layang aniesmuhaimin ganjarmahfud mahkamah konstitusi ulang jago kalah ulang menang ya,8,1,positif
breaking news hasil quick count pilpres lembaga aroma putar kah,0,1,netral
sih tukang kayu solo menang pilkada solo menang pilkada solo menang pilgub jakarta menang pilpres menang pilpres menang pilpres menang tokoh hebat sejarah milu indonesia,32,1,positif
kpu lapor terima dana kampanye lppdk caprescawapres pilpres aniesmuhaimin rp prabowogibran rp ganjarmahfud rp,11,1,positif
saking pilpres lupa naskah tibatiba lintas kepala pikir lawan jokowi sadar sindir anak jokowi nyata pasang,7,1,positif
kuasa untung jokowi ketua organisasi mafia frans magnis suseno sidang phpu pilpres april,5,1,positif
kenangkenangan pilpres pilih makan gratis tangis bombay serang ukt,-6,0,negatif
pilpres ubah atur batas usia pilkada ubah atur batas usia pilpres pakai sirekap pilkada pakai sirekap tinggal bansos kalo pilkada pakai arti sempurna rusak kpu pakai sirekap pilkada pilpres,10,1,positif
pusing kursi menteri demokrat serah putus sepenuh prabowo komitmen gabung juang beliau pilpres postur kabinet perintah percaya prabowo paham butuh,-7,0,negatif
pilpres prabowo bulanbulanan kubu jokowi serang isu culik langgar ham berat psikopat pecat tni pilpres anak jokowi cawapres prabowo angkat jenderal hormat bintang,-10,0,negatif
umpat kasar goblok prabowo pilpres asyikkini umpat kasar bengkulu januari prabowo singgung anies pintar,-12,0,negatif
jokowi serah andai tandatanda menang nyata jokowi tahan kelak kenang presiden timses salah kontestan pilpres situasi beda paslon november elektabilitasnya,13,1,positif
karakter prabowo suka pilih beliau pilpres sikap prabowo wawancara jurnalis asing cenderung pojok,1,1,positif
forum komunikasi rawan ganjarmahfud mahasiswa masyarakat aipil desak komisi pilih republik indonesia kpu ri gelar ulang coblos pilih presiden pilpres dasar fenomena duga curang,2,1,positif
andi widjajanto kader pdi juang pilpres rakernas v tim pakar draft bahas strategi politik partai andi widjajanto terima kta resmi kader posisi rakernas tim pakar,-2,0,negatif
kalo lihat kalo pdip rekonsiliasi gibran cawapres prabowo anggota pdip kalo ganjar menang pdip menang kalo prabowo menang pdip menang presiden juara pdip pilpres,28,1,positif
breaking news gibran rakabuming raka resmi calon wakil presiden damping prabowo subianto pilpres,6,1,positif
tim menang nasional pasang caprescawapres anies baswedan muhaimin iskandar timnas amin hasil hitung cepat quick count pilpres giring opini hasil quick count nyata pasang prabowo subiantogibran rakabuming raka,25,1,positif
milu pilpres caleg pilkada penuh toxic curang keji biadab,-7,0,negatif
merdeka kali tugas gubernur dki jakarta imb kawasan kampung tanah merah,3,1,positif
anies gagal presiden,-1,0,negatif
fafifu enggres menit pakai term sulit bikin lo lihat pintar pilpres ajar mustahil bukti orang beli sisa lo,2,1,positif
jelang pilpres rapat kabinet gotong royong presiden megawati anggota kabinet maju pilpres surabaya diam ribu bahasa diamdiam kantor menteri koordinator politik aman surabaya susun,-4,0,negatif
tuju anies muhaimin menang putar pilpres sila amin,11,1,positif
analisis wawancara ganjar mata najwa tonton wawancara ganjar channel mata najwa kali salah tokoh politik muncul publik orang maju pilpres positioning ganjar publik kait gagal,10,1,positif
umi pipik klarifikasi curhatannya curang duga prabowo disetting menang pilpres umi pipik klarifikasi hujat terima platform media sosial mati kolom komentar postingannya ummipipik,15,1,positif
prabowo subianto masyarakat terima money politics serang fajar coblos pilpres uang politis rupa uang rakyat,1,1,positif
kemarin kpu informasi debat capres langsung x debat cawapres x kpu ubah format debat pilpres debat cawapres tiada imo kali besok langsung kpu menang pilpres,25,1,positif
temu surat suara pilpres,4,1,positif
anies baswedan tanggap hasil quick count pilpres,6,1,positif
ubah taktik kampanye prabowo sosok militer kakekkakek gemoy pilpres amp prabowo kenal tokoh militer kerap marahmarah kondisi indonesia tuju pilpres mantan tentara tibatiba ubah kakek gemoy,9,1,positif
kenang kenang pilpres bikin gue orang tua merinding baca ulang,2,1,positif
presiden presiden kerap bikin bijak enak jidat gelar jenderal hormat duga jahat ham berat prabowo subianto sanding gibran sang anak pilpres simak obrol malam,12,1,positif
komisi pilih kpu proses hitung suara milu data kamis progress tps khusus pilih presiden pilpres real count kpu pasang calon presiden capres prabowo subianto,12,1,positif
nyata sikap partai adil sejahtera pks hadap situasi koalisi pilpres,10,1,positif
analisa pilpres prabowo kalah putar indikator prabowo suara jawa barat provinsi populasi duduk terbanyakdan susul aceh sumatra barat suara prabowo jawa barat sumatra,0,1,netral
pilpres ya indo tes jiwa presiden sih gue please presiden gue kayak psikopat setanyahu,1,1,positif
telanjang politik jokowi lawan pilpres situasi politik gelisah jarang muak suara hati wakil rakyat indonesia suara pilih kasih,-5,0,negatif
update data hitung suara pilih presiden himpun website resmi kpu februari wib anies baswedanmuhaimin iskandar prabowo subiantogibran rakabuming ganjar,5,1,positif
bau busuk sengat koper sirkus pilpres,-9,0,negatif
sidang mahkamah konstitisi agenda gugat amin kpu hasil pilpres mohon doa,10,1,positif
kpu gelar rekapitulasi hasil suara pilpres tingkat nasional provinsi kpu laku rekapitulasi pilpres tingkat nasional provinsi,9,1,positif
jokowi balas jasajasa kepala desa menang anak pilpres gilir anakanak kepala desa sejahtera jokowi simbiosis mutualisme salah salah lahir monster rusak negeri,0,1,netral
anies baswedan calon presiden nomor urut gegabah buka suara hasil pilpres gegabah deklarasi curang gegabah hormat,-12,0,negatif
presiden jokowi presiden kampanye pilpres salah capres prabowo subianto damping jokowi menhan temu informasi,10,1,positif
cerita pendek fiksi tanggal februari pas coblos pilpres,4,1,positif
alhamdulillah sah terimakasih a dukung kerjasama mensukseskan daftar pasang amin bacapresbacawapres pilpres insyaalloh tenaga keringat panjenengan siasia amin salam ubah,31,1,positif
breaking news mohammad mahfud md resmi calon wakil presiden damping ganjar pranowo pilpres,11,1,positif
sah,0,1,netral
nurut jokowi dukung gibran jabat gubernur jatim ganti pj alias main pilpres hakikat kontestasi kandidat jokowi vs rakyat demokrasi ala diktator,6,1,positif
malam presiden jokowi kabar temu pimpin parpol koalisi perintah minus nasdem kritik presiden wasit netral cawecawe pilpres,-2,0,negatif
keluarga sigar djojohadikusumo gelar syukur pilih prabowo subianto presiden ri langowan minahasa sulawesi utara gtgt foto dok keluarga djojohadikusumo,20,1,positif
breaking news mahkamah konstitusi tolak gugat kait hasil pilpres layang tim hakim milik dissenting opinion saldi isra enny nurbaningsih arief hidayat,-6,0,negatif
berita ramai dunia silat pilpres,0,1,netral
survei smrc duet aniesahy peluang menang pilpres,2,1,positif
partai resmi deklarasi anies baswedan capres pilpres dukung putus nasdem anies capres berterimakasih langkah surya paloh yuk like amp retweet,14,1,positif
kampanye hitam jokowi tuju mencedrai reputasi positif takut gerombol rakus haus kuasa pilpres angkat jempol kawan tanda iring jalan jaga nawa cita arah jokowi,16,1,positif
resmi kpu hasil pilpres anies muhaimin suara menang provinsi aceh sumbar prabowo gibran suara menang provinsi ganjar mahfud suara menang provinsi prabowo subianto gibran,28,1,positif
judul berita hikmah petik yusril hasil pilpres batal kecurangankumparan juni yusril hak angket dpr gugur hasil milu kompas februari,-1,0,negatif
megawati curang tsm pilpres nyata,-1,0,negatif
pahlawan andil timbul kisruh proses demokrasi pemilupilpres tau curang biar pahlawan paslon dukung jokowi bangsat,-10,0,negatif
direktur eksekutif center for energy security studies ali ahmudi respons istilah greenflation cawapres gibran rakabuming cawapres mahfud md debat pilpres minggu januari ali gibran,9,1,positif
kpu ri hasil pilpres maret hitung rugi aju mohon sengketa pilpres mahkamah konstitusi paslon aniesmuhaimin paslon ganjarmahfud,-5,0,negatif
gambar pilpres negeri,2,1,positif
breaking news hasil quick count pilpres lembaga,0,1,netral
kpu undi nomor urut pilpres kantor kpu jalan imam bonjol menteng jakarta pusat selasa hasil paslon anies baswedanmuhaimin iskandar alias cak imin nomor urut prabowo subiantogibran rakabuming raka nomor urut,7,1,positif
gua suka foto ajar partai bahaya politik identitas pilpres mari lupa beda pilpres pesta demokrasi mesin hancur negeri,5,1,positif
argentina biru muda juara piala dunia man city biru muda juara ucl treble winner prabowo biru muda menang pilpres,-2,0,negatif
jokowi sukses pelihara miskin karir anak jokowi andil menang prabowogibran anak pilpres andai jokowi prabowo anak macan hujan gigil jokowi libat,6,1,positif
temu pakta integritas ott kpk hadap pj bupati sorong pdip gp bantu bin menang pilpres sesuai pakta integritas temu kpk geledah pj kepala daerah lantik paksa,10,1,positif
hasil quick count pileg lembaga pdip babak bur pilpres pileg syarat lolos dpr,-8,0,negatif
dukung pilpres yuk mutualan jalin silaturahmi,8,1,positif
genting rakyat siaga jelang hasil pilpres maret jaga selamat rakyat nkri rakyat sikat jabat sadis brutal kumandang jihad total imam hrs,1,1,positif
calon presiden nomor urut ganjar pranowo usul partai dukung dpr gulir hak angket ganjar duga curang pilih presiden pilpres mesti sikap,14,1,positif
seru sikap tokoh pilpres curang struktur sistimatis massif tolak hasil pilpres sanksi hukum dab etik langgar dukung dpr laku hak angket tolak selesai curang pilpres mk,4,1,positif
breaking news mahkamah konstitusi resmi tolak mohon sengketa hasil pilpres aju aniesmuhaimin ganjarmahfud,-3,0,negatif
kaca pilpres kakak kaesang gibran usia maju cawapres syarat calon presiden wakil presiden pasal huruf ku uu nomor milu,2,1,positif
timbul wabah pandemi odgj efek lowbatt pilpres medsos rsj kewalahan rusak otak seniman gubesrp bujer veel budimab i ekalaya,-7,0,negatif
dukung anies baswedan pilpres dukung bijak tapera tapera bantu masyarakat milik rumah harga jangkau,21,1,positif
